,categoria,titulo,contenido,tags
0,Nacional,Fiscalía investigará a más carabineros por tratar de encubrir caída de joven al río Mapocho,"Tras la audiencia de formalización deSebastián Zamora, carabinero investigado por su presunta responsabilidad en la caída de un adolescente por el puente Pío Nono, la Fiscalía decidió ampliar la investigación contra más uniformados por un supuesto intento de encubrir el hecho ocurrido el pasado viernes.Intento de encubrimientoEntre los antecedentes entregados por la entidad persecutora, se encuentra la presunta falsificación de un acta de detención por parte de Carabineros, que afirmó que el adolescente ingresó detenido por desórdenes públicos a la clínica Santa María.Durante la audiencia en la que se dejó con prisión preventiva al imputado, la fiscal de Alta Complejidad Centro Norte, Ximena Chong, reveló que tras el incidente desde Carabineros enviaron a la PDI una “minuta de entrega de detenido, un acta de información de los derechos del detenido” y tres declaraciones de funcionarios policiales.Según Chong, uniformados de la 1ª y de la 40º Comisaría de Santiago se comunicaron telefónicamente entre las 21:09 y las 23:30 horas con fiscales Centro Norte de turno, para informar que el adolescente que había caído y que luego fue internado en la Clínica Santa María, se encontraba detenido.Además, los funcionarios policiales comunicaron al Ministerio Público que el joven fue entregado en dependencias de la 1ª Comisaría y que luego fue detenido a las 20:40 en la clínica.No obstante, de acuerdo a lo expuesto por Chong, esto es falso, ya que tanto los médicos tratantes como la enfermera que lo atendió, declararon que el paciente llegó sin custodia policial y que no se le realizó ningún procedimiento en el recinto asistencial.“La conducta posterior del imputado tiende a mediatizar y derechamente a procurar encubrir como una supuesta detención las circunstancias que rodean al acto homicida”, explicó Chong.¿Qué delitos investigará?En virtud de lo anterior, la Fiscalía Centro Norte anunció que ampliará la investigación a otros funcionarios, que incluye a carabineros de mayor rango que el imputado, por los delitos de obstrucción a la investigación, falsificación de documento público y encubrimiento, consignó La Tercera.Imputado en prisión preventivaDurante la audiencia de formalización, el 7° Juzgado de Garantía de Santiago determinó la medida cautelar de prisión preventiva para el imputado formalizado por el delito de homicidio frustrado y fijó un plazo de investigación de 120 días.En esta instancia, la fiscal Ximena Chong presentó diversos registros audiovisuales sobre la caída del joven de 16 años al río, las que probarían la efectiva participación e intencionalidad del funcionario policial en el hecho.",['Carabineros']
1,Nacional,Alerta Roja en Zapallar y Papudo por incendio forestal que consume pastizal y arbolado nativo,"De acuerdo con la información proporcionada por la Corporación Nacional Forestal (Conaf), activo se mantiene el incendio forestal denominado “Cerro Las Puntas”, el cual consume una superficie aproximada de 90 hectáreas de matorral, pastizal y arbolado nativo en las comunas de Zapallar y Papudo.A raíz de lo anterior, la Intendencia de la Región de Valparaíso, en base a la información técnica proporcionada por Conaf y en coordinación con la Dirección Regional de ONEMI, amplió la cobertura de la Alerta Roja para las comunas de Zapallar y Papudo por incendio forestal, que se encuentra vigente desde ayer y hasta que las condiciones del incendio así lo ameriten.#ONEMIValpo Se amplía cobertura #Alerta Roja para las comunas de Zapallar y Papudo por incendio forestal. Infórmate en https://t.co/aWOSnDHzaM pic.twitter.com/iZVnt8OICx— onemichile (@onemichile) October 5, 2020Trabajo en terrenoCon la ampliación esta Alerta Roja, se movilizarán todos los recursos necesarios y disponibles, en apoyo adicional a lo ya desplegado por Conaf, Bomberos y el Sistema Nacional de Protección Civil. De esta forma, se actuará para controlar la situación, dada la extensión y severidad del evento.Trabajaron durante la jornada de ayer: 1 técnico, 2 brigadas, 3 aviones, 1 helicóptero y Director Regional de CONAF; Bomberos de Zapallar (2 unidades); Director Regional de ONEMI; Alcalde de Zapallar, Encargado Comunal de Emergencia y Protección Civil y 1 helicóptero gestionado por el municipio.Respecto a la planificación de recursos del día de hoy, CONAF dispuso de 1 técnico, 2 cuadrillas, 1 brigada, 3 aviones y 1 helicóptero; apoyados por 4 helicópteros gestionados por ONEMI.",[]
2,Nacional,Comisiones del Congreso citan a Pérez y Rozas para aclarar caída de joven al río Mapocho,"El ministro del Interior, Víctor Pérez, y el general director de Carabineros, Mario Rozas, fueron citados para este lunes por la Comisión de Seguridad Ciudadana de la Cámara de Diputadas y Diputados y la comisión de Derchos Humanos del Senado para explicar el procedimiento policial que terminó con un joven herido tras caer desde el Puento Pío Nono al río Mapocho.Comisión de la Seguridad Ciudadana de la CámaraLa citación, agendada entre las 17:00 y 19:30 horas, fue dada a conocer por el presidente de la instancia, el diputadoMiguel Ángel Calisto, quien tildó de ""abuso"" lo ocurrido con la víctima de 16 años.Respecto a la citación de Rozas, el congresista de la Democracia Cristiana señaló que""las imágenes ampliamente difundidas dan cuenta de un acto extremadamente grave por parte de un funcionario policial, que amerita toda nuestra condena"".""Hay un uso excesivo de la fuerza que termina con este joven menor de edad en el río Mapocho. Este tipo de abusos no los podemos tolerar"".En relación a Pérez, el llamado a declarar se explica porque ""elGobierno también tiene que dar cuenta sobre el accionar de Carabineros”.""Esperamos escuchar tanto de parte del ministro como del general director sanciones claras al responsable de este acto y también a los carabineros que han negado la situación en la prensa, a pesar de existir registros audiovisuales que no dejan mucho espacio a la duda"", complementó.Comisión de DD.HH. del SenadoEntre las 17:00 y 18:30 horas de este lunes la comisión de Derechos Humanos citó también a las autoridades para explicar los hechos. Además de Pérez y Rozas, esperan a la subsecretaria de Derechos Humanos, Lorena Recabarren, la Defensora de la Niñez, Patricia Muñoz y el director del Instituto Nacional de Derechos Humanos, señor Sergio Micco.","['Gobierno', 'Mario Rozas']"
3,Nacional,Este lunes cuatro colegios de la RM vuelven a clases presenciales,"Este lunes otros cuatro colegios de la Región Metropolitana abrieron sus puertas para recibir a alumnos que de manera voluntaria quisieran regresar a las clases presenciales, en medio de la pandemia de coronavirus. Estos establecimientos se suman a los cinco que abrieron la semana pasada en Pirque.Colegios del sector orienteSe trata de los colegios Los Andes, Tabancura y Huelén de Vitacura, además del Cordillera de Las Condes, todos de la red Seduc.En el caso del colegio Huelén, tras seis meses cerrado y con clases online, en la entrada se publicó el protocolo sanitario, donde además se controlará la temperatura al momento de ingresar los alumnos. En el lugar también se instaló un pediluvio para higienizar los zapatos.Baja asistencia en PirqueEl jueves de la semana pasada en Pirque, primera comuna de la Región Metropolitana en volver a clases presenciales, se registró una muy baja asistencia de estudiantes e, incluso, al Liceo El Llano, no llegó ningún alumno, por lo cual el Colegio de Profesores tildó el hecho de “papelón”.Sin embargo, el ministro de Educación, Raúl Figueroaseñaló que “no (fue un papelón), lo importante es rescatar lo positivo, que es que por primera vez, en este caso en la comuna de Pirque, las familias pudieron recuperar la experiencia escolar”.Posteriormente, el secretario de Estado anunció el plan ""Sigamos aprendiendo"" para el retorno a clases presenciales.¿En qué consiste el plan?""Este plan tiene tres pilares que son esenciales: la seguridad, la voluntariedad y la gradualidad"", indicó el jefe de cartera en primera instancia, quien recalcó que ""no se abre ninguna escuela si no se dan las condiciones sanitarias que efectivamente lo permitan"".Cumplimiento de 7 pasosDándose las condiciones anteriormente nombradas, el titular de Salud sostuvo que ""los establecimientos deben cumplir siete pasos para que la apertura efectivamente le de la seguridad a las familias"".Estas medidas son:Deben darse las condiciones sanitarias.Se deben cumplir los protocolos del Ministerio de Educación.Deben recibirse los kits sanitarios.El establecimiento debe cumplir con las medidas acordes a su realidad.Se debe establecer un trabajo directo con la comunidad educativa.Se debe realizar una inducción al personal del establecimiento.Se debe oficializar el plan para que el Mineduc autorice la apertura gradual.Kit sanitarioEl kit sanitario dispuesto por las autoridades a recintos educacionales que reciban subvención del Estado consiste en:Alcohol gelJabón líquidoMascarilla reutilizableTermómetroEscudo facialSet de limpieza",['Educación']
4,Nacional,Cadem: Un 46% reconoce haber abrazado o dado un apretón de manos durante la pandemia,"La más reciente entrega de la encuesta Plaza Pública deCadem, correspondiente a la primera semana de octubre, evidenció las actividades que más han realizado las personas durante la pandemia de coronavirus en el país.Al respecto, un 81% de los consultados señaló que en el último mes fue al supermercado, una actividad que fue calificada de un riesgo bajo moderado.Más atrás aparecen acciones como “pasar por una estación de servicio a poner bencina” (60%) y “comprar comida a domicilio” (56%), las que fueron consideradas de un riesgo bajo.Abrazos y apretones de manoDestaca también que un 46% de los encuestados reconoció haber “abrazado o dado un apretón de manos a alguien”, que es una actividad que implicaría un riesgo moderado alto.En cuanto a las acciones de alto riesgo, un 3% afirmó que fue a misa u otro servicio religioso, un 2% que fue a un bar y un 1% que fue al gimnasio.Uso de mascarillasEn la encuesta también se preguntó acerca del uso obligatorio de mascarillas, una medida sobre la cual un 93% se manifestó de acuerdo y solo un 6% en desacuerdo.En una línea similar, se consultó sobre el uso de la mascarilla en distintos ámbitos y situaciones de la vida cotidiana, arrojando como resultado que un 97% de los encuestados aseguró que siempre usa este elemento de protección “en espacios públicos como supermercados, malls u otros”.Otro 95% dijo que siempre usa la mascarilla “cuando camina por la calle” y un 80% que siempre la utiliza “cuando va a trabajar presencialmente”.¿Con mascarilla junto a la familia?Sin embargo, el panorama cambia cuando se trata de su uso en reuniones familiares, donde un 26% indicó que la ocupa “siempre”, misma cifra que quienes dijeron que la utilizan “algunas veces”, mientras que un 32% precisó que no la ocupa “nunca”.Finalmente, un 4% dijo que “siempre” usa mascarilla al interior de su casa con su familia, un 14% que “algunas veces” y un 81% que “nunca”.","['Cadem', 'Coronavirus en Chile']"
5,Nacional,Segundo retiro de Fondos de AFP: Los parlamentarios que han apoyado el proyecto,"Desde el 24 de agosto pasado se tramita enel Congreso chileno un proyecto dereforma constitucional que busca permitir un segundo retiro de hasta el 10% de los ahorros fondos de pensiones que se encuentran en las AFP. La idea es que se ejecute en el mes de diciembre para paliar los efectos de la crisis económica generada por el coronavirus.Si bien la iniciativa ha sido rechazada desde el Gobierno, parlamentarios de diferentes sectores se han manifestado a favor de la idea.Pamela Jiles""Me he dedicado, como lo hice en el anterior retiro del 10%, a conversar parlamentario por parlamentario y puedo decirle que hasta ahora tengo el compromiso explícito de 14 parlamentarios de la derecha para votar este proyecto, cuando llegue a la sala, afirmativamente"", señaló Pamela Jiles, impulsora de la iniciativa.""Personas que ni siquiera estuvieron dispuestas a votar por el primer retiro hoy día tienen la disposición porque entienden con mayor sensibilidad cuál es la situación de este país y de su población"", añadió.Erika OliveraLa diputada de Renovación Nacional Erika Olivera se mostró abierta a apoyar el proyecto, afirmando en una entrevista con Meganoticias que es para ""darle una mano a las personas que tanto lo necesitan"".""Me encuentro en pleno estudio por esta moción de retiro de un nuevo 10%"", sostuvo, señalando que: ""Lo preocupante es que la mayor parte de la población ya no tiene dinero para retirar. Cómo los apoyamos... Hay familias de clase media que siguen teniendo problemas económicos"".""Los últimos datos del INE nos hablan del 13% de desempleo. Eso es una gran alerta. Insisto, la clase media sigue cayendo. Por todo esto me inclino por sí aprobar esta idea"", agregó.Diputado SchalperEl parlamentario Diego Schalper (RN) también se encuentra evaluando la iniciativa, manifestando en una entrevista con Hora Cero de Meganoticias que: ""A propósito de esta discusión de un eventual segundo retiro del 10%, yo le he planteado a la diputada Jiles y a otros que pensemos en un paquete de medidas que apunte a destrabar esta reforma previsional, incorporando nuevos actores en el mundo de las AFP y en cómo aseguramos una cotización más contundente"".""Estoy abierto a evaluar este segundo retiro, en la medida en que se inserte en una cosa profunda, bien hecha y no solamente una pirotecnia para ganar minutos en televisión"", expresó.Sobre los votos que podría reunir el segundo retiro en el oficialismo aseguró que: ""yo creo que si lo hacemos de manera responsable, amplia y con una medida que se enmarca dentro de varias medidas, podríamos lograr un acuerdo bastante transversal"".PPDEl jefe de la bancada del Partido por la Democracia (PPD), Raúl Soto, informó que: ""Como autores de uno de los proyectos que permitió el primer retiro del 10%, hemos decidido ser consecuentes y respaldar el proyecto que permite un segundo retiro de los fondos previsionales como una manera de mitigar los efectos de la pandemia del Covid-19"".""Mientras el Gobierno no ponga sobre la mesa una transferencia directa de recursos como lo es una Renta Básica de Emergencia, que asegure un ingreso importante a las familias de clase media y de sectores vulnerables del país, es imposible no apoyar esta iniciativa"", añadióEl diputado recalcó que: ""La campaña del terror que decía que los efectos de retirar los fondos de pensiones serían muy nocivos para la economía, eran totalmente falsos y así fueron desmentidos en los hechos. De aquí a fin de año, muchas personas seguirán necesitando el dinero para enfrentar los efectos de la pandemia, y este proyecto permite que todas las personas puedan retirar sus ahorros, y sobrellevar estos meses de crisis con dignidad"".Matías WalkerEl presidente de la comisión de Constitución, Matías Walker (DC), también se ha mostrado a favor del proyecto.""Hoy día los chilenos lo están pasando mal, tenemos una cifra de desempleo altísima, yo represento a la Región de Coquimbo que tiene la cifra de desempleo más alta del país y si no hay una respuesta concreta y oportuna del Gobierno respecto de tener una renta universal de emergencia para el 90% de la población como lo propusimos el 28 de abril todos los partidos de oposición, sabemos que está este instrumento"", sostuvo, según consignó Emol.Además, indicó que: ""El primer retiro del 10% está todavía en plena aplicación hasta julio del próximo año, ha sido un proceso exitoso, eficiente, que no solamente le ha alivianado el bolsillo a más de 10 millones de chilenos, sino que incluso ha tenido efectos beneficiosos sobre la economía amortiguando la recesión económica que estamos enfrentando"".Gobierno estudiará iniciativa de la UDISi bien el Ejecutivo ha rechazado la posilbilidad de un segundo retiro de fondos de AFP, sí dijo estar abierto a la opción de analizar un cobro anticipado de pensiones por parte de enfermos terminales.El ministro vocero Jaime Bellolio, dijo:“Es una propuesta interesante que hizo la diputada María José Hoffman y que nosotros estamos abiertos a poder discutir”.Añadió que “hace sentido el que personas que estén con enfermedades terminales puedan hacer algún tipo de retiro de sus fondos y eso es algo que se venía discutiendo desde hace bastante tiempo con los ministerios de Hacienda y del Trabajo”.",['Retiro Fondos AFP']
6,Nacional,Toda la RM sale de Cuarentena: Revisa cómo funciona el transporte y movilidad en cada etapa,"Con el paso a la etapa de Transición de las comunas de Renca y Paine, toda la Región Metropolitana salió de Cuarentena desde las 5:00 horas de este lunes, situación que no se registraba desde marzo debido a la pandemia de coronavirus.¿En qué consiste la etapa de Transición?El desconfinamiento parcial implica que algunos sectores del comercio podrán volver a funcionar. Según informó el Minsal, solo podrán abrir sus puertas aquellos negocios atendidos por sus propios dueños o trabajadores que residan en sus misma comuna.El levantamiento parcial de las restricciones solo aplica para los habitantes de las comunas mencionadas anteriormente, por lo que aquellos trabajadores que residan en una zona aún en confinamiento no podrán desplazarse hacia sus lugares de trabajo, aunque el establecimiento esté en una de las comunas en Transición.Además, durante la Transición se mantiene la cuarentena los días sábados, domingos y festivos, así como el cumplimiento del toque de queda y el distanciamiento social.Durante la Transición se mantendrá el cumplimiento de las aduanas y cordones sanitarios establecidos por las autoridades y persiste la prohibición de traslado a la segunda vivienda.Durante la transición se mantendrá prohibido las siguientes actividades:Funcionamiento de Clubes y Centros de día de Adulto Mayores.Funcionamiento de cines, teatros y lugares análogos.Atención de público en restaurantes y cafés.Funcionamiento de pubs, discotecas y análogos.Funcionamiento de gimnasios abiertos al público.Actividades sociales y recreativas de más de 10 personas.En lo que respecta a los colegios, universidades y otros recintos educacionales donde se dicten clases presenciales deberán continuar cerrados hasta que el gobierno considere que estén garantizados al 100% su funcionamiento. Sobre este particular, el Ministerio de Educación ha sido enfático sobre el retorno de los estudiantes a clases. Volverán siempre y cuando el virus esté controlado.Por otra parte, este paso incluye la prohibición de visitas al SENAME y el ELEAM. Además, se mantienen prohibidas la realización de cirugías electivas no críticas, exceptuando cirugía mayor ambulatoria y con hospitalización de máximo una noche.¿Qué pasa con el deporte?Para las comunas en Transición los deportes colectivos están permitidos siempre al aire libre y con un máximo de 10 personas.Comunas que pasaron a etapa de PreparaciónQuinta NormalCerrillosColinaCuracavíEl BosqueHuechurabaMaría PintoRecoleta¿En qué consiste la etapa de Preparación?Durante esta etapa la movilidad sigue limitada para disminuir al mínimo la interacción y propagación del virus, aunque se dispone de la reapertura gradual de algunas zonas del comercio.En este sentido, es importante tomar en cuenta que en esta fase, además de la movilización los siguientes comercios podrán reactivar sus actividades:Farmacias, supermercados y otros lugares de abastecimiento de alimentos y productos básicos; centros de salud y establecimientos públicos.Comercios y otras actividades no esenciales que puedan funcionar con trabajadores que vivan en una comuna que no está en cuarentenaAtención al público en restaurantes, cafés y lugares análogos sólo en espacios abiertos y con una distancia mínima de dos metros entre mesas o 25% de capacidad, a partir del 2 de septiembre a las 05:00 horas.Se pueden realizar cirugías electivas no críticas a no ser que la autoridad indique lo contrarioTodos los locales y comercios que funcionen deben cumplir los parámetros establecidos por las autoridades sanitarias del país.Funcionamiento del Transporte PúblicoLos buses comenzaron a funcionar desde las 05:30 y operarán hasta las 21:30 horas, con cierre a las 23:00 horas.El Metro de Santriago en tanto, abrió sus puertas a las 06:00 y la hora de cierre está agendada para las 21:00 horas.Por su parte, el Tren Central abrió a las 06:00 de la mañana y funcionará hasta las 21:15 horas.⚠ATENTOS⚠ Revisa el horario de operaciones del #TransportePúblico 🚍🚇🚆 para mañana lunes 05 de octubre:✅🚌Buses desde las 05:30 a las 21:30. Cierre 23:00.✅🚇@metrodesantiago de 06:00 a 21:00 hrs.✅🚆@Trencentral desde las 06:00 hasta las 21:15.✅ #UsaMascarilla  😷 pic.twitter.com/YxtoQJyI6p— Transantiago (@Transantiago) October 5, 2020","['Región Metropolitana', 'Cuarentena']"
7,Nacional,Plebiscito 2020: Revisa las últimas novedades de la consulta nacional del 25 de octubre,"El próximo domingo 25 de octubre, más de 14 millones de chilenos tendrán la oportunidad de decidir si se da comienzo, o no, a un proceso hacia una nueva Constitución, a través del Plebiscito2020que se realizará dicha jornada.Inicialmente, el proceso tendría lugar el 26 de abril pasado, sin embargo, debido a la llegada del coronavirus al país, fue suspendido. El 19 de marzo pasado, los dirigentes de los partidos políticos del país acordaban el nuevo calendario electoral para Chile.Así, en medio de medidas sanitarias para evitar que los locales de votación sean un foco de contagio, se realizará el referéndum en donde las personas decidirán si quieren o no una nueva Carta Fundamental y, además, cuál es el órgano idóneo para su redacción.Las últimas novedadesEl Servicio Electoral (Servel) publicó este sábado 03 de octubre la lista de electores elegidos comovocales de mesasy los miembros de los Colegios Escrutadores designados para el plebiscito del próximo 25 de octubre.Asimismo, el Servel informó los locales, mesas de votación y delegados que funcionarán para el proceso eleccionario, en donde la ciudadanía deberá decidir si se redactará una nueva Constitución y el organismo que llevará adelante esta tarea.Revisa si eres vocal de mesaRevisa tu local de votación",[]
8,Nacional,Advierten preocupante aumento de temperatura en zona chilena de la Antártica,"Investigadores de la Universidad de Santiago advirtieron que el territorio chileno de la Antártica está siendo afectada por elevadas temperaturas, las cuales no se registraban desde 1989.Los científicos aseguran estar preocupados, porque en aquel año los termómetros registraron una temperatura promedio de 0,72°. Y este 2020, la medición volvió a superar los 0 grados, llegando entre enero y agosto a 0,03°.¿Qué dijeron los científicos?Para Raúl Cordero, miembro del grupo AntarcticaCL, el cual corresponde a la U. de Santiago, ""tener una temperatura sobre 0 es muy peligroso, porque hace que se pierda hielo y cualquier pérdida de hielo en la antártica tiene como consecuencia que suba el nivel del mar en el mundo"".""La temperatura promedio del mismo periodo de 2019 fue de -0,39° Celsius. Es una diferencia de un poco más de medio grado con respecto a este año. Pareciera ser poco, pero hace la diferencia a tal punto que este año el mar de la bahía Fildes, que está justo frente a la base donde hacemos las mediciones, no se congeló. El año pasado, y todos los años anteriores, sí se congelaba a fines de junio"", agregó el experto según consigna LUN.Ritmo rápido de calentamientoDe acuerdo al profesional, los 0,03° actuales están por encima de la temperatura que debiese registrar la Antártica.""El promedio de temperaturas considerado normal en esa zona es de -2°C, que fue la temperatura normal durante la segunda mital del siglo XX. Pero durante los últimos años ese promedio ha ido en aumento"", sostuvo.Por lo mismo, el alza de las temperaturas es un fenómeno provocado por el rápido ritmo del calentamiento, lo que posiciona a la península antártica chilena como una de las zonas del mundo que más se calentó durante la segunda mitad del siglo pasado.Si bien este calentamiento acelerado tuvo una pausa de dos décadas,Cordero reconoce que las temperaturas aumentaron lentamente, pero ""los últimos años y en particular este 2020, podrían indicar que esa pausa en el calentamiento está terminando y se estaría dando un nuevo inicio al calentamiento acelerado"", concluyó.",['Calentamiento global']
9,Nacional,Tour delictual: Sujetos realizan al menos seis robos en 45 minutos,"Durante la noche de este domingo, un grupo de seis antisociales protagonizó un tour delictual por distintas comunas de la Región Metropolitana.Se trata de tres adultos y tres menores de edad, siendo uno de ellos inimputable por tener 13 años. Todos quedaron detenidos tras un procedimiento de Carabineros, menos el menor, por quien se estableció una denuncia por vulneración de derechos al Tribunal de Familia.Información policialEl capitán Sebastián Azolas, oficial de ronda de la Prefectura Santiago Central, detalló que los individuos ""iniciaron un tour delictual en Puente Alto con el robo de un vehículo, el cual utilizaron para efectuar diferentes robos en San Miguel, hasta llegar a Santiago, donde fueron detenidos"".Según señaló el uniformado, los sujetos abordaron al conductor cerca de las 21:30 horas y el arresto fue a las 22:15. En ese sentido, ""en un lapso alrededor de 45 minutos efectuaron por lo menos seis robos con intimidación en diferentes lugares"".Modus operandi""Los sujetos descienden del vehículo para intimidar a las personas que van caminando. Uno de ellos con un arma de fuego, que ya fue incautada. Actúan con una violencia que es característica de estos jóvenes"", agregó Azolas, precisando que los otros menores, además del de 13 años, tienen15 y 14.Por último, hasta el momento serían por lo menos seis víctimas, pero no se descarta que sea un número mayor de afectados.#Santiago: Carabineros de la SIP Zona Metropolitana detuvo a 6 sujetos, uno de ellos inimputable, por Robos con Intimidación y por Sorpresa, cometidos en las comunas de #PuenteAlto y #SanMiguel. Los antisociales fueron capturados en el centro de la capital. #OrdenyPatria pic.twitter.com/tR6e3eopn5— Carabineros de Chile (@Carabdechile) October 5, 2020","['Policial', 'Carabineros']"
