,categoria,titulo,contenido,tags
0,Nacional,Más de 437 mil personas recibieron el bono de $500 mil sin cumplir requisito de renta,"El Servicio de Impuestos Internos (SII) detectó que más de 437 mil trabajadores dependientes obtuvieron el bono de $500 mil alterando su monto de remuneración, tras lo cual estableció hasta el 30 de noviembre para que restituyan el dinero.Proceso de devoluciónTras la realización de un proceso de verificación, el SII detectó que 437.703 trabajadores dependientes obtuvieron el bono clase media tras declarar un monto menor al real en sus remuneraciones de julio.Por lo anterior, estableció como plazo hasta el 30 de noviembre para que las personas devuelvan los montos sin reajustes, multas ni intereses, cuyo procedimiento se realizará a través de una plataforma disponible en el sitio web de la Tesorería General de la República.Una vez que concluya este proceso, se determinarán las acciones a realizar para quienes no realicen la devolución.Durante los próximos días, el SII se contactará con los involucrados para informarles su situación y ellos podrán aportar antecedentes para comprobar situaciones que no hayan sido contempladas.No cumplieron requisitoCabe señalar, que uno de los requisitos era haber sufrido una disminución de al menos un 30% en las remuneraciones de julio, respecto al promedio de ingresos totales de 2019.El informe estableció que 400.603 son trabajadores del sector privado y 37.100 funcionarios del Estado yque los recursos involucrados alcanzan los US$256 millones.""Estaba basado en un acto de confianza""El Director del SII, Fernando Barraza, expresó que “la normativa legal dispuso que la entrega de este bono de hasta $500 mil estaba basado en un acto de confianza. Los trabajadores debían registrar, bajo declaración jurada, la información de su sueldo del mes de julio, que a la fecha de postulación no estaba disponible, y para cuya verificación debíamos procesar los antecedentes que otras instituciones podían aportarnos con un desfase de dos meses, que fue lo que hicimos”.",['Bono 500 mil']
1,Nacional,Coronavirus: Minsal reporta 1.839 nuevos contagios y 45 fallecidos,"El ministerio de Salud entregó este viernes un nuevo balance respecto al estado de avance del coronavirus en nuestro país, confirmando un total de 12.867fallecidos y466.590 contagiados hasta las 21:00 horas del jueves.Respecto a los fallecidos, se registraron 45nuevos decesos a nivel nacional, según información entregada por el Departamento de Estadísticas e Información de Salud (DEIS).Además, se reportó un total de 1.839nuevos contagios, de los cuales 1.208 corresponden a personas con síntomas y 585 asintomáticos mientras que 46 no han sido notificados.Pacientes hospitalizadosEn Unidad de Cuidados Intensivos permanecen 868pacientes, de los cuales 660 están con ventilación mecánica y 122 se encuentran en estado crítico.Asimismo, se reportó que hay 486 ventiladores disponibles.Cantidad de exámenes realizadosAdemás, informaron que se realizaron 38.674exámenes PCR en las últimas 24 horas, acumulando a la fecha3.394.522 test.Residencias sanitariasAdemás se informó que hay 10.340cupos disponibles en las 152 residencias sanitarias en todo el país, para personas que han sido diagnosticadas con la enfermedad y que no pueden realizar aislamiento efectivo en su domicilio.",['Coronavirus en Chile']
2,Nacional,"Mañalich ante comisión acusatoria: ""Tuvimos un problema en el conteo de casos""","La comisión de la Cámara de Diputados que analiza la acusación constitucional contra el exministro de Salud Jaime Mañalich escucha este viernes al nefrólogo y a su defensa.El exministro está acusado por infringir gravemente la Constitución al poner el riesgo la vida y la salud de la población, por faltas a la probidad y el ocultamiento de datos, en el marco de la pandemia del coronavirus.¿Qué dijo Mañalich?Al inicio de su presentación, el extitular de la cartera comenzó justificando su presencia en la instancia, señalando que ""estoy acostumbrado a dar la cara siempre, ante cualquier pregunta, dificultad, cuestionamiento que se haga"".En esta línea, agregó que en su gestión durante dos períodos de Gobierno del Presidente Sebastián Piñera ha tenido que enfrentar ""desafíos extraordinariamente severos"".Como ejemplo de lo anterior, mencionó el terremoto y maremoto del año 2010, el cuidado de la salud de los 33 mineros, además de una huelga de hambre ""extrema"" de comuneros mapuche, además de la pandemia del coronavirus.Tras esto, Mañalich se refirió a otras grandes pandemias del mundo y cómo afectaron a la sociedad, además de las características de dichos virus. En este sentido, detalló también el origen del coronavirus.CompromisoEn paralelo, repasó las decisiones que se adoptaron desde la confirmación de la llegada del virus al país, destacando el cierre de fronteras y las medidas sanitarias implementadas, en atención a las recomendaciones de organismos internacionales.""El compromiso de que nunca a nadie le iba a faltar una cama, un ventilador, es un compromiso que los servidores de salud, los hospitales públicos y privados pudieron cumplir a cabalidad, a pesar de que hubo momentos de mucho estrés"", sostuvo.Conteo de casosEn paralelo, el exministro sostuvo que “tuvimos un problema muy serio en el conteo de casos. La fórmula que disponíamos y que fue bien efectiva cuando se trataba de ciudades no tan grandes como Santiago o Valparaíso, eso da cuenta del éxito de Osorno o inicialmente Punta Arenas”.En este sentido, explicó que la plataforma Epivigila del Ministerio de Salud, en donde se notificaban los casos, no estaba actualizada, debido a que el personal de salud estaba sobrepasado.Para solucionar lo anterior, Mañalich destacó el sistema que se implementó respecto al cruce de datos con laboratorios que realizaban los exámenes PCR.¿Cómo seguir la sesión?La instancia puedes seguirla a través del video adjunto o por la señal de televisión de la Cámara, en este link.",['Jaime Mañalich']
3,Nacional,Videos captan dos pumas en Las Condes: Cuarto episodio en 9 días,"Un día después de la aparición de un puma en el sector de San Carlos de Apoquindo, este viernes dos nuevos felinos de esta especie fueron avistados en la comuna de Las Condes.La situación es seguida de cerca por personal municipal y Carabineros ante la eventualidad de que ingresen a casas de residentes de los sectores afectados.Según aseguró el alcalde Joaquín Lavín, se trataría de un cachorro y un adulto, lo que, según comentó, correspondería al cuarto episodio en nueve días en San Carlos de Apoquindo.Aquí se ve más cerca. Es el cuarto episodio de pumas en San Carlos de Apoquindo en los últimos 9 días. Ahora en una zona muy residencial pic.twitter.com/najaH4xD0Q— Joaquín Lavín (@LavinJoaquin) October 2, 2020Restricción de tránsitoDebido al trabajo de los equipos, se establecieron restricciones de tránsito en el sector de Charles Hamilton con Villa Alegre.Videos del hecho",[]
4,Nacional,Video registra tiroteo entre general de Carabineros y autores de encerrona,"Las cámaras de seguridad del nudo Quilicura permitieron registrar el enfrentamiento a tiros que protagonizó el general de Carabineros Enrique Monrás con una banda delictual que había cometido el robo de vehículo con el método de la “encerrona”.El registroEl video muestra el momento en que el uniformado desciende del vehículo fiscal y comienza el intercambio de disparos, acción que permitió la detención de dos de los sujetos.Banda con menoresSegún información de Carabineros, en el grupo delictual habían menores de edad, de hecho, se investiga la participación de uno de 11 años, consignó el coronel Francisco Villarroel.El uniformado agregó que los sujetos habían participado en ocho delitos, lograron sustraer cinco vehículos en cuatro comunas del sector norte de la Región Metropolitana.Junto con las detenciones, la policía logró incautar autos robados, especies, documentos, teléfonos celulares y dinero en efectivo.",['Policial']
5,Nacional,Nueva Constitución: ¿Cuánto ganaría un convencional constituyente y quiénes pueden serlo?,"Si el próximo 25 de octubre, en el marco del Plebiscito Constituyente que se llevará acabo, la opción Apruebo obtiene la mayoría de los votos, Chile iniciará un nuevo camino de creación de una nueva Constitución Política de la República.Durante esa misma jornada, además, se conocerá cuál será el órgano encargado de la elaboración de la nueva Carta Fundamental: La Convención Constitucional, integrada por 155 ciudadanos elegidos especialmente para eso, o la Convención Mixta Constitucional, conformada por 172 miembros, divididos en partes iguales entre ciudadanos electos y parlamentarios en ejercicio.Las elecciones para determinar quiénes serán los convencionales constituyentes están programadas para el 11 de abril de 2021, en conjunto con las de gobernadores, alcaldes y concejales.¿Quiénes pueden ser convencionales constituyentes?Respecto a los requisitos para ser candidato, la ley establece que estos seanciudadanos de la República, es decir, todos losmayores de 18 años que no haya sido condenados a una pena aflictiva (superior a tres años de presidio).Para ser inscrito comocandidato por un partido político, se requiere una militancia de a lo menos dos meses antes del plazo de cierre de las inscripciones y no haber pertenecido a otro partido político dentro de los nueve meses anteriores.Para ser inscrito comoindependiente, en tanto, se solicita no haber pertenecido a un partido político dentro de los nueve meses anteriores al plazo de inscripción de candidaturas.RemuneraciónLa remuneración que percibirán los denominados convencionales constituyentes -con excepción de los parlamentarios que la componen- la ley la fija en50 Unidades Tributarias Mensuales (UTM),equivalentes, a diciembre de 2019, a $2.481.150.Esto, ""además de las asignaciones que se establezcan en el Reglamento de la Convención"", señala la norma. Dicho reglamento será diseñado por un comité externo.IncompatibilidadLa ley establece quecesarán inmediatamente en sus funciones al momento de inscribir sus candidaturas, las personas que se desempeñen en alguno de los siguientes cargos:Ministros de Estado.Intendentes.Gobernadores.Alcaldes.Consejeros regionales.Concejales.Subsecretarios.Secretarios regionales ministeriales.Jefes de servicio.Miembros del Consejo del Banco Central.Miembros del Consejo del Servicio Electoral.Miembros y funcionarios de los diferentes escalafones del Poder Judicial, del Ministerio Público, de la Contraloría General de la República, así como los del Tribunal Constitucional, del Tribunal de Defensa de la Libre Competencia, del Tribunal de Contratación Pública, del Tribunal Calificador de Elecciones y de los tribunales electorales regionales.Consejeros del Consejo para la Transparencia.Miembros activos de las Fuerzas Armadas y de Orden y Seguridad Pública.A esta lista se agregarándiputados y senadores, en caso de que el órgano elegido para la redacción de la nueva Carta Fundamental sea laConvención Constitucional.Otros empleados fiscalesA excepción de los cargos ya mencionados, la ley especifica que los demás funcionarios públicos, como también los trabajadores de empresas del Estado""podrán hacer uso de un permiso sin goce de remuneraciones mientras sirvan a la Convención"".Parlamentarios y Comisión MixtaRespecto a la situación en que quedarán los parlamentarios que sean electos como convencionales constituyentes en el caso de una Convención Mixta, la ley estable quesus cargos serán compatibles, quedando estos eximidos de su obligación de asistir a sesiones en sala y comisióndel Congreso mientras la convención desarrolle sus funciones.""El Congreso Nacional podrá incorporar medidas de organización para un adecuado trabajo legislativomientras la Convención Mixta Constitucional se encuentre en funcionamiento"", señala la norma.Presidente y vicepresidenteCualquiera sea la convención de la que se trate, en su primera sesión y mediante el quórum de mayoría absoluta de los miembros en ejercicio,se elegirá a un presidente y a un vicepresidente para su funcionamiento, además de constituir una secretaría técnica.Respecto a esta última instancia, el texto legal señala que ""será conformada porpersonas de comprobada idoneidad académica o profesional"".Noticias sobre el Plebiscito 2020","['Nueva Constitución', 'Plebiscito 2020']"
6,Nacional,"Segundo retiro del 10% de AFP: Expertos estiman efecto ""más acotado"" en mercado financiero","Tras el inicio de la discusión de un segundo retiro del 10% de la AFP para enfrentar la crisis económica provocada por el coronavirus, expertos consultados por el medio norteamericano elBloombergaseguraron que esto tendría un efecto más acotado en el mercado financiero, a diferencia de lo que ocurrió con el primero.El proyecto de reforma constitucional se encuentra actualmente en la Cámara de Diputados.Si bien ha sido rechazada desde el Gobierno, parlamentarios de diferentes sectores se han manifestado a favor de la idea impulsada por los diputados Karim Bianchi, Loreto Carvajal, Félix González, Pamela Jiles, Marisela Santibáñez, Alexis Sepúlveda y Gabriel Silber.""Impacto sería más acotado""El subgerente de renta fija de BICE Inversiones, Marco Gallardo, sostuvo que “el mercado empezó a incorporar el tema” del nuevo retiro, aunque en esta oportunidad “el impacto sería más acotado porque ahora el mercado sabe que el Banco Central de Chile puede mitigar la volatilidad en el mercado financiero”.El medio estadounidense en una publicación para Diario Financiero, estableció quetras el primer retiro no se produjo un colapso del mercado y que estos se han realizado sin incidentes. Incluso, el Banco Central anunció hace unos días la disminución de medidas para amortiguar el impacto del primer retiro.Daniel Soto, jefe de estrategia de inversión de SURA Asseet Management, aseveró que “el mercado está integrando que lo peor ya pasó en cuanto a desaceleración económica"".Iniciativa en el CongresoCabe señalar, que si bien la iniciativa ha sido rechazada desde el Gobierno, parlamentarios de diferentes sectores se han manifestadoabiertos a discutir la idea impulsada por los diputados Karim Bianchi, Loreto Carvajal, Félix González, Pamela Jiles, Marisela Santibáñez, Alexis Sepúlveda y Gabriel Silber.Tale son los casos de los diputados oficialistas Diego Schalper (RN), Erika Olivera (RN), además de Raúl Soto (PPD) y Matías Walker (DC).",['Retiro Fondos AFP']
7,Nacional,"Ministro de Educación responde al Colegio de Profesores y descarta ""papelón"" por clases Pirque","El ministro de Educación Raúl Figueroa descartó que la vuelta a clases en la comuna de Pirque haya sido “un papelón” como lo tildó el Colegio de Profesores luego que se registrara una muy baja asistencia a los cinco establecimientos que retomaron las jornadas presenciales.¿Qué dijo el ministro?En entrevista con Meganoticias Conecta, y consultado por los dichos de Mario Aguilar, el ministro respondió: ""No (fue un papelón), lo importante es rescatar lo positivo, que es que por primera vez, en este caso en la comuna de Pirque, las familias pudieron recuperar la experiencia escolar"".El secretario de Estado consignó que ""es voluntaria la asistencia y lo que hemos visto es que de a poco se va generando la confianza en la comunidad y sobre ese punto debemos ir construyendo"".Plazos para el retornoRespecto a si en el Mineduc hay plazos para el regreso de las clases presenciales en el país, Figueros dijo que ""no hay métricas específicas porque la apertura depende de muchos factores, sobre todo si están las condiciones para retornar"".""Hay que bajar el perfil y las expectativas porque es un proceso largo, paulatino, que tiene la voluntariedad de las familias como elemento fundamental"". añadió.¿Cómo fue la asistencia en Pirque?ElLiceo el Llano, donde se debía ingresar desde las 09:00 AM, fue uno de los más afectados, debido a que ningún estudiante llegó el recinto.En tanto, en el colegioSanto Rubio Moralesllegaron dos estudiantes de octavo año básico, mientras que en el colegioLo Arcayaarribaron cinco alumnos.Donde se produjo la asistencia más alta fue en el LiceoEl Principal, donde llegaron 11 estudiantes.",[]
8,Nacional,SHOA descarta tsunami en Chile por temblor 5.8 en territorio antártico,"ElServicio Hidrográfico y Oceanográfico de la Armada (SHOA) descartó la ocurrencia de un tsunami en las costas chilenas luego de un temblor magnitud 5.8 registrado en el territorio antártico.Características del temblorOnemi reportó que el sismo magnitud 5.8 Richter ocurrido a las 7:29 horas de este viernes fue localizado a 64 kilómetros al este de la Base Prat.Tras revisar sus características, el SHOA consignó que no reúnenlas condiciones necesarias para generar un tsunami en las costas de Chile.SHOA indica que sismo magnitud 5.8 localizado a 64 KM al E de Base Prat, territorio chileno antártico, NO reúne las condiciones necesarias para generar un tsunami en las costas de Chile. Más info. https://t.co/r4IfR3uDDH— onemichile (@onemichile) October 2, 2020No obstante, la entidad consignó que “no se descarta la posibilidad de que ocurran de forma espontánea remociones de masa producto del sismo, que podrían generar tsunamis locales en cuerpos de agua cercanos a su epicentro”.",[]
9,Nacional,Vocales de mesa para el Plebiscito: Las fechas clave del proceso de designación,"Este sábado 3 de octubre el Servicio Electoral se publicará el listado de vocales de mesa para el Plebiscitoen que los ciudadanos podrán aprobar o rechazar la elaboración de una nueva Constitución para el país.Como ocurre en cada proceso de esta índole, existe un gran interés por conocer si se es seleccionado, por lo que es necesario tener presente el cronograma.Fechas relevantesSábado 3 de octubreEl secretario de cada Junta Electoral publicará las nóminas de vocales designados para cada Mesa Receptora de Sufragios, los miembros de Colegios Escrutadores, Locales de Votación, Delegados y recintos en que funcionarán los Colegios Escrutadores.Además, cada uno de los vocales y miembros de Colegios Escrutadores será informado mediante una carta certificada su nombramiento y se les informará las fechas, horas y lugar de constitución y funcionamiento de la Mesa o Colegio Escrutador y los nombres de los demás vocales y miembros de Colegios Escrutadores.En el sitio web www.servel.cl estará disponible también la nómina de vocales designados, locales de votación y delegados que funcionarán en el extranjero.Lunes 5de octubreA las 9:00 de la mañana, comienza el plazo para presentar las excusas y solicitar exclusiones ante las Juntas Electorales para el desempeño del cargo de vocal de mesa y miembro del Colegio escrutador.Además, vence el plazo para que el Servicio Electoral ponga a disposición de los consulados respectivos los útiles destinados a cada una de las Mesas Receptoras de Sufragios.En este caso, serán los consulados los que custodiarán y trasladarán dichos elementos.Martes 6A partir de las 9:00 horas se reúnen las Juntas Electorales para conocer excusas y exclusiones.Miércoles 7A las 9:00 de la mañana se reúnen nuevamente las Juntas Electorales para conocer las excusas y exclusiones, día en que además vence el plazo para presentar las razones para eximirse de ser vocal de mesa y miembro de Colegio Escrutador.Jueves 8A las 9:00 horas se reúnen las Juntas Electorales para conocer excusas y exclusiones.Sábado 10Los secretarios de las Juntas Electorales darán a conocer la nómina de vocales de mesa reemplazantes tanto de las Mesas Receptoras de Sufragios como de miembros de Colegios Escrutadores.Además, en el sitio web www.servel.cl, se publicará la nómina de vocales de mesas que se desempeñarán en mesas receptoras de sufragios en el extranjero.Ese mismo día vence el plazo para que partidos políticos y parlamentarios independientes declaren la ubicación de sedes ante la respectiva junta electoral.También vence el plazo para divulgar resultados de encuestas.El Servicio Electoral, entregará durante esa jornada a los partidos políticos y parlamentarios independientes el facsímil de las cédulas.ExcusasServel mantiene un listado sobre quienes pueden excusarse de ser vocales de mesa de acuerdo a la ley o al nuevo protocolo que se aplicará en esta elección:Estar ausente del país o encontrarse a más de 300 kilómetros del lugar de votación o en un lugar cuyas comunicaciones no sean expeditas.Cumplir labores en establecimientos hospitalarios los días de la elección.Desempeñar en los mismos días y horas otras funciones que encomiende la Ley Nº 18.700.Estar la mujer en estado de embarazo o de puerperio dentro de las seis semanas previas al parto y hasta veinticuatro semanas siguientes a este.Ser mayor de 60 años (Antes el límite era de 70 años).Estar física o mentalmente imposibilitado de ejercer la función, circunstancia que deberá ser acreditada con certificado médico.Lo que tienes que saber para ir a votar",['Plebiscito 2020']
